symbol,entry_date,archetype,source_cite,mappable,unmapped_reason
DAMCAPITAL,2026-07-16,cup_handle_weekly_early,"user screenshot 2026-07-17 (weekly cup-handle forming above 169 after downtrend â€” EARLY, may be pre-trigger)",1,
WOCKPHARMA,2026-06-01,sg_combination_breakout,"stocksgeeks article winners (chart arrows late-May/early-Jun 2026, entry date approx Â±3d; 1550 retest then 1657 break)",1,
NETWEB,2026-06-03,sg_combination_breakout,"stocksgeeks article winners (chart arrow early Jun 2026 approx Â±3d; 3950 zone reclaim then 4250 break)",1,
PARAS,2026-06-15,sg_combination_breakout,"stocksgeeks article winners (chart arrows mid-Jun 2026 approx Â±3d; 772-884 zone breakout, defence)",1,
ASTRAMICRO,2026-06-16,sg_combination_breakout,"stocksgeeks article winners (chart arrow ~16-Jun-2026 approx Â±3d; 1177 break, defence)",1,
KIRLPNU,2026-06-17,sg_combination_breakout,"stocksgeeks article winners (breakout over 1671.6 ~17-Jun-2026; +6.67% follow-through)",1,
CMPDI,,sg_combination_breakout,"stocksgeeks article winners (no chart/date; recent listing â€” only 71 days of prices)",False,no entry date in article
AEROFLEX,,sg_combination_breakout,"stocksgeeks article winners (no chart/date)",False,no entry date in article
BAJAJCON,,sg_combination_breakout,"stocksgeeks article winners (no chart/date)",False,no entry date in article
CEMPRO,,sg_combination_breakout,"stocksgeeks article winners (no chart/date)",False,no entry date in article
DATAPATTNS,,sg_combination_breakout,"stocksgeeks article winners (no chart/date; defence)",False,no entry date in article
PREMEXPL,,sg_combination_breakout,"stocksgeeks article winners (defence)",False,symbol not found in daily_prices â€” verify NSE ticker
DREDGECORP,,sg_combination_breakout,"stocksgeeks article winners (no chart/date)",False,no entry date in article
THERMAX,2026-06-18,NEGATIVE_CONTROL_third_flag,"stocksgeeks avoid-example: straight-up 3rd flag 18-Jun-2026 â€” combination says skip/tighten",1,
RUBICON,2026-06-15,NEGATIVE_CONTROL_tilted_flag,"stocksgeeks avoid-example: tilted flag 15-Jun-2026",1,
MIDHANI,,NEGATIVE_CONTROL_multi_hit_base,"stocksgeeks avoid-example: multi-year base multi-hit pivot â€” habitual SL-chopper",False,no specific date in article
INOXINDIA,2026-07-16,tight_base_anticipation,"tightvcptrader chart 07-16: tight base under 2040 pivot above rising 20MA, HVY 4.03M in leg, projected breakout path â€” anticipation class",1,
LLOYDSENGG,2026-07-16,tight_base_anticipation,"tightvcptrader chart 07-16: coiling under 90.67 after HVE 170M leg â€” chart shows LTASM-I badge, trader trades it anyway (live proof mild-ASM hard-block was a false-negative gate)",1,
AZAD,2026-07-16,shelf_hold_anticipation,"tightvcptrader chart 07-16: holding 2335 shelf after HVY 2.47M day (also in labels 07-10) â€” anticipation re-entry",1,
